id,name,cne_municipality_code,state_id:id
cenipa_data.cne_municipality_2101,MP. BARALT,01,cenipa_data.cne_state_21
cenipa_data.cne_municipality_2102,MP. SANTA RITA,02,cenipa_data.cne_state_21
cenipa_data.cne_municipality_2103,MP. COLON,03,cenipa_data.cne_state_21
cenipa_data.cne_municipality_2104,MP. MARA,04,cenipa_data.cne_state_21
cenipa_data.cne_municipality_2105,MP. MARACAIBO,05,cenipa_data.cne_state_21
cenipa_data.cne_municipality_2106,MP. MIRANDA,06,cenipa_data.cne_state_21
cenipa_data.cne_municipality_2107,MP. INDIGENA BLVNO G,07,cenipa_data.cne_state_21
cenipa_data.cne_municipality_2108,MP. MACHIQUES DE P,08,cenipa_data.cne_state_21
cenipa_data.cne_municipality_2109,MP. SUCRE,09,cenipa_data.cne_state_21
cenipa_data.cne_municipality_2110,MP. LA CAÑADA DE U.,10,cenipa_data.cne_state_21
cenipa_data.cne_municipality_2111,MP. LAGUNILLAS,11,cenipa_data.cne_state_21
cenipa_data.cne_municipality_2112,MP. CATATUMBO,12,cenipa_data.cne_state_21
cenipa_data.cne_municipality_2113,MP.ROSARIO DE PERIJA,13,cenipa_data.cne_state_21
cenipa_data.cne_municipality_2114,MP. CABIMAS,14,cenipa_data.cne_state_21
cenipa_data.cne_municipality_2115,MP.VALMORE RODRIGUEZ,15,cenipa_data.cne_state_21
cenipa_data.cne_municipality_2116,MP. JESUS E LOSSADA,16,cenipa_data.cne_state_21
cenipa_data.cne_municipality_2117,MP. ALMIRANTE P,17,cenipa_data.cne_state_21
cenipa_data.cne_municipality_2118,MP. SAN FRANCISCO,18,cenipa_data.cne_state_21
cenipa_data.cne_municipality_2119,MP. JESUS M SEMPRUN,19,cenipa_data.cne_state_21
cenipa_data.cne_municipality_2120,MP. FRANCISCO J PULG,20,cenipa_data.cne_state_21
cenipa_data.cne_municipality_2121,MP. SIMON BOLIVAR,21,cenipa_data.cne_state_21
cenipa_data.cne_municipality_2201,MP. ATURES,01,cenipa_data.cne_state_22
cenipa_data.cne_municipality_2202,MP. ATABAPO,02,cenipa_data.cne_state_22
cenipa_data.cne_municipality_2203,MP. MAROA,03,cenipa_data.cne_state_22
cenipa_data.cne_municipality_2204,MP. RIO NEGRO,04,cenipa_data.cne_state_22
cenipa_data.cne_municipality_2205,MP. AUTANA,05,cenipa_data.cne_state_22
cenipa_data.cne_municipality_2206,MP. MANAPIARE,06,cenipa_data.cne_state_22
cenipa_data.cne_municipality_2207,MP. ALTO ORINOCO,07,cenipa_data.cne_state_22
cenipa_data.cne_municipality_2301,MP. TUCUPITA,01,cenipa_data.cne_state_23
cenipa_data.cne_municipality_2302,MP. PEDERNALES,02,cenipa_data.cne_state_23
cenipa_data.cne_municipality_2303,MP. ANTONIO DIAZ,03,cenipa_data.cne_state_23
cenipa_data.cne_municipality_2304,MP. CASACOIMA,04,cenipa_data.cne_state_23
